Tal1	Zfpm1	Klf1	Gata1	Csf3r	Il3ra	Gata2	Stat3	Spi1	Epor	Cebpa	Gfi1	External	
0.90	0.44	-0.20	0.33	-0.02	-0.57	-0.19	-0.03	-0.61	0.67	0.05	-0.36	
0.74	1.08	0.36	0.52	-0.09	-0.28	0.34	-0.26	-0.76	1.44	-0.16	-1.02	
0.16	0.45	0.57	0.36	-0.11	-1.17	0.48	-0.56	0.00	1.44	-0.51	-0.37	
0.17	0.26	0.37	0.23	-0.10	-0.44	-0.25	-0.37	-0.29	1.10	-0.35	-0.32	
-0.20	-0.15	-0.54	-0.19	0.32	0.05	0.51	0.57	0.25	-0.16	0.32	0.21	
-0.20	-0.26	-0.62	-0.10	0.35	0.81	-0.22	0.41	-0.33	-0.06	0.28	-0.10	
-0.10	-0.09	0.14	0.01	0.16	0.19	0.57	0.71	-0.31	0.80	-0.25	-0.41	
-0.13	-0.12	-0.97	-0.15	0.52	0.55	-0.34	0.52	-0.53	0.35	0.10	-0.35	
-0.13	-0.13	-0.73	0.04	0.61	0.88	0.19	0.92	0.67	-0.72	0.18	0.12	
0.37	0.60	0.30	0.44	-0.14	-0.67	-0.04	-0.45	-0.18	1.42	-0.46	-0.57	
-1.22	-0.74	0.48	-0.37	0.83	0.28	0.05	0.44	0.94	-0.89	0.31	0.91	
-0.99	-0.99	0.16	-0.54	0.70	0.05	1.07	0.32	0.95	-1.07	0.12	1.04	
2.15	1.85	0.64	1.42	-1.97	-1.79	0.11	0.30	-0.89	0.67	-0.25	-1.85	
