GATA3	COPEB	ELK1	IRF4	JUN	MAF	MYB	NFATC3	NFKB1	RELA	STAT3	USF2	External	
-0.44	-0.09	0.06	0.38	-0.24	0.19	-0.56	-0.37	0.31	0.10	0.18	-0.19	1.72	
-0.24	0.16	0.39	-0.33	0.17	0.17	-0.48	-0.06	-0.20	-0.19	-0.09	0.23	-1.64	
-0.00	-0.65	-0.18	0.58	-0.80	-0.50	0.27	-0.03	0.48	0.22	0.22	-0.61	0.85	
-0.56	0.44	-0.07	0.22	0.21	0.07	-0.50	0.06	0.45	0.32	0.48	-0.04	1.49	
-0.57	-0.35	0.49	-0.27	-0.24	-0.27	-0.87	-0.35	-0.18	-0.35	-0.38	0.06	-1.47	
-0.56	0.44	-0.07	0.22	0.21	0.07	-0.50	0.06	0.45	0.32	0.48	-0.04	1.49	
0.55	0.23	-0.01	0.18	0.02	0.62	0.60	0.20	0.08	0.18	0.41	-0.05	1.64	
0.83	-0.05	0.45	-0.37	-0.03	0.69	0.59	0.08	-0.54	-0.31	-0.15	0.20	-1.48	
-0.02	0.25	-0.04	0.09	0.07	-0.01	0.14	0.31	0.27	0.25	0.41	-0.08	1.57	
-0.56	0.44	-0.07	0.22	0.21	0.07	-0.50	0.06	0.45	0.32	0.48	-0.04	1.49	
-0.02	0.25	-0.04	0.09	0.07	-0.01	0.14	0.31	0.27	0.25	0.41	-0.08	1.57	
0.02	-0.25	0.04	-0.09	-0.07	0.01	-0.14	-0.31	-0.27	-0.25	-0.41	0.08	-1.57	
