Tal1	Zfpm1	Klf1	Gata1	Csf3r	Il3ra	Gata2	Stat3	Spi1	Epor	Cebpa	Gfi1	External	
0.44	0.07	0.28	0.09	-0.45	0.11	-0.16	-0.62	-0.13	-0.04	-0.02	-0.29	
0.72	0.32	0.61	0.23	-0.66	0.16	0.02	-0.92	-0.21	0.14	-0.09	-0.49	
-0.08	0.04	0.21	0.08	-0.29	-0.39	0.30	-0.54	-0.15	0.31	-0.41	-0.30	
0.00	-0.02	0.23	0.04	-0.32	-0.12	-0.13	-0.56	-0.13	0.14	-0.26	-0.26	
-0.61	-0.32	-0.42	-0.21	0.06	-0.03	0.42	0.34	0.03	-0.21	0.10	-0.01	
-0.06	-0.18	-0.02	-0.09	-0.23	0.41	-0.03	-0.13	0.00	-0.30	0.22	-0.12	
-0.08	-0.19	0.19	-0.09	-0.22	0.35	0.44	-0.09	0.03	-0.16	-0.00	-0.10	
-0.08	-0.17	-0.16	-0.10	-0.20	0.32	-0.16	-0.08	-0.05	-0.21	0.12	-0.15	
-0.31	-0.28	-0.22	-0.16	-0.06	0.38	0.18	0.18	0.14	-0.44	0.19	-0.01	
0.03	0.07	0.16	0.09	-0.33	-0.28	-0.06	-0.54	-0.17	0.25	-0.35	-0.34	
-0.70	-0.51	0.15	-0.31	0.07	0.47	0.23	-0.11	0.28	-0.55	0.23	0.25	
-0.93	-0.61	-0.19	-0.38	0.21	0.22	0.83	0.16	0.25	-0.51	0.12	0.28	
2.41	2.07	0.81	1.54	-1.96	-1.93	0.08	0.06	-1.24	1.18	-0.43	-2.28	
