wSample ID	Time	Position
Sample_0_8226	0	8226
Sample_2_8226	2	8226
Sample_4_8226	4	8226
Sample_6_8226	6	8226
Sample_8_8226	8	8226
Sample_10_8226	10	8226
Sample_12_8226	12	8226
Sample_14_8226	14	8226
Sample_16_8226	16	8226
Sample_18_8226	18	8226
Sample_20_8226	20	8226
Sample_22_8226	22	8226
Sample_24_8226	24	8226
Sample_27_8226	27	8226
Sample_30_8226	30	8226
Sample_33_8226	33	8226
Sample_36_8226	36	8226
Sample_39_8226	39	8226
Sample_42_8226	42	8226
Sample_45_8226	45	8226
Sample_48_8226	48	8226
Sample_52_8226	52	8226
Sample_56_8226	56	8226
Sample_60_8226	60	8226
Sample_64_8226	64	8226
Sample_68_8226	68	8226
Sample_72_8226	72	8226
Sample_96_8226	96	8226
Sample_120_8226	120	8226
Sample_168_8226	168	8226
Sample_0_8227	0	8227
Sample_2_8227	2	8227
Sample_4_8227	4	8227
Sample_6_8227	6	8227
Sample_8_8227	8	8227
Sample_10_8227	10	8227
Sample_12_8227	12	8227
Sample_14_8227	14	8227
Sample_16_8227	16	8227
Sample_18_8227	18	8227
Sample_20_8227	20	8227
Sample_22_8227	22	8227
Sample_24_8227	24	8227
Sample_27_8227	27	8227
Sample_30_8227	30	8227
Sample_33_8227	33	8227
Sample_36_8227	36	8227
Sample_39_8227	39	8227
Sample_42_8227	42	8227
Sample_45_8227	45	8227
Sample_48_8227	48	8227
Sample_52_8227	52	8227
Sample_56_8227	56	8227
Sample_60_8227	60	8227
Sample_64_8227	64	8227
Sample_68_8227	68	8227
Sample_72_8227	72	8227
Sample_96_8227	96	8227
Sample_120_8227	120	8227
Sample_168_8227	168	8227
