SampleID	Sample_0_8226	Sample_2_8226	Sample_4_8226	Sample_6_8226	Sample_8_8226	Sample_10_8226	Sample_12_8226	Sample_14_8226	Sample_16_8226	Sample_18_8226	Sample_20_8226	Sample_22_8226	Sample_24_8226	Sample_27_8226	Sample_30_8226	Sample_33_8226	Sample_36_8226	Sample_39_8226	Sample_42_8226	Sample_45_8226	Sample_48_8226	Sample_52_8226	Sample_56_8226	Sample_60_8226	Sample_64_8226	Sample_68_8226	Sample_72_8226	Sample_96_8226	Sample_120_8226	Sample_168_8226	Sample_0_8227	Sample_2_8227	Sample_4_8227	Sample_6_8227	Sample_8_8227	Sample_10_8227	Sample_12_8227	Sample_14_8227	Sample_16_8227	Sample_18_8227	Sample_20_8227	Sample_22_8227	Sample_24_8227	Sample_27_8227	Sample_30_8227	Sample_33_8227	Sample_36_8227	Sample_39_8227	Sample_42_8227	Sample_45_8227	Sample_48_8227	Sample_52_8227	Sample_56_8227	Sample_60_8227	Sample_64_8227	Sample_68_8227	Sample_72_8227	Sample_96_8227	Sample_120_8227	Sample_168_8227
Tal1	0.432826561466015	0.471120348014352	0.484699036396883	0.569327682383377	0.536702118756689	0.497527044116703	0.508924544769873	0.566639216255196	0.574066026825385	0.523137801879729	0.583432676566071	0.530449562698189	0.478781627772951	0.613495645775555	0.569156830829401	0.534665721542466	0.61678058678195	0.579509499814019	0.590956363266761	0.587898278760767	0.582187795424456	0.643226126118922	0.631982686739093	0.510429287133257	0.6053627142216	0.630550937682081	0.618838605199393	0.659548921766949	0.731996730747437	1	0.432826561466015	0.513993331037589	0.554486595278929	0.537784562900276	0.607174665106395	0.494644209092584	0.493463502876815	0.526038179786039	0.506454035770375	0.528449940825428	0.522390082261392	0.477680105148101	0.486851260338453	0.54008911284061	0.473091367041967	0.500795855551137	0.491714024263616	0.49573635757291	0.419849949085446	0.411154342917682	0.502544312194486	0.398439223523691	0.39646237889422	0.575811180637008	0.431922694434088	0.424298474165971	0.394004878953563	0.480372837489032	0.487087178790976	0.364652445595024	
Zfpm1	0.58670124118218	0.576907576892862	0.540437529829912	0.723597836240194	0.747767283408727	0.660776424802217	0.681816074175759	0.741564995810115	0.729744538422516	0.720001242473489	0.710656714929485	0.754074593180308	0.735038296658144	0.684453792854018	0.789398461373858	0.776282741570652	0.825355811936986	0.77563310491673	0.782711169680357	0.79362669897953	0.860285432509571	0.82056094878731	0.791854121807452	0.826102832109024	0.85255943419912	0.912900576185332	0.866901225199167	0.944885819234585	0.97009989622817	1	0.58670124118218	0.693392151024416	0.701301783735186	0.664507402394192	0.618791378801171	0.591274535798945	0.524910517361105	0.604282571959754	0.57454926166443	0.611609141949569	0.622557143271578	0.557292169061242	0.640772989443746	0.628113061010726	0.618062223228549	0.555364235614278	0.574366026481767	0.551372313015366	0.579949193848805	0.490031865589483	0.57299081004281	0.52554449402813	0.550129488521393	0.552935213286647	0.507090690151297	0.480333583528143	0.441117508437776	0.534928335634637	0.447332681208726	0.0404639215966976	
Klf1	0.0354780639388692	0.0551893949839956	0.0749072238379093	0.0766878733790568	0.08763693695835	0.0716610344563274	0.0819735504444331	0.0885950410768531	0.112773964343062	0.103925364868879	0.117853311773333	0.123287866804283	0.1287745058413	0.167595477768516	0.174483650648277	0.204230791697123	0.218832824698033	0.262132649107463	0.226095397821942	0.235313017360782	0.251048784524172	0.282732039055587	0.346385322302195	0.330761443875589	0.366153585509191	0.408008354870638	0.418142637098985	0.551880683740706	0.721234037636692	1	0.0354780639388692	0.0624508915640933	0.0966448094633764	0.109082187554494	0.0934561171233978	0.0924555605022668	0.0873613076686572	0.09098872678538	0.0879946091144095	0.0929042408036823	0.0890443386375267	0.0892894912625821	0.0884107105188093	0.0863215303149494	0.0847214038509008	0.0841679753390088	0.0951748697172783	0.0996808110528343	0.0972698112057291	0.0793791160602671	0.105018411157202	0.0916645953100698	0.109375251156423	0.121327879403476	0.161669225512849	0.156214530056964	0.143681367994181	0.156079187001975	0.154268703815201	0.00412216685209728	
Gata1	0.210930510910126	0.164342820819568	0.186511082410618	0.231564508059779	0.241149841446158	0.235828982722978	0.23799482195221	0.236911864099854	0.26009974922049	0.259429115372079	0.230282262402894	0.265501079086901	0.262345088133835	0.257605987784685	0.276845001580635	0.324021927442446	0.358911446363373	0.366654949305398	0.348562916258772	0.371705557116529	0.399048987193487	0.333971361104129	0.374222304585943	0.419478397153245	0.433469529986735	0.452411965425646	0.454766998945389	0.545813360954282	0.549349770815748	1	0.210930510910126	0.219485141485796	0.256158339202711	0.303621837142353	0.26282820378044	0.266831038664791	0.235627023799255	0.224873611335572	0.258404890746428	0.217417666711285	0.251817345925875	0.226622664763272	0.227130866565312	0.259297503502206	0.241294720739886	0.249052949081933	0.235039019217544	0.244916343681788	0.24847454341592	0.226273655991855	0.286246885101512	0.195108855487233	0.23317973509012	0.264945325970707	0.315232880530961	0.304848366287169	0.263068592038157	0.215924550580399	0.282009534423844	0.150997763410518	
Csf3r	0.00430339561443194	0.00363895455406977	0.00670614242411354	0.00752870841588448	0.00701909496646325	0.00304169188547417	0.00338166731044624	0.0034106932256418	0.00257733767986473	0.00329246126249457	0.002669529612736	0.00205300841719187	0.00268707575540636	0.00202021576649603	0.00225371003889556	0.00135390687179419	0.00153848799774055	0.00275552721816621	0.00324383660311618	0.0020307983658533	0.00187715129138046	0.0016008123565701	0.00179550335293219	0.00138351645180083	0.00136091055833067	0.00146289225329785	0.00108129485380997	0.00204137884663809	0.00312038431440338	0.000739357728279639	0.00430339561443194	0.00365591162741485	0.00707520038200459	0.0068029975132372	0.00547290568473788	0.00402681178167241	0.00643932937860376	0.00744111200766328	0.00819945870632903	0.00924250725442113	0.00950573266762465	0.0114341706220573	0.0136387649852238	0.0136589063128034	0.017217741626381	0.0181035031115039	0.0230434017409595	0.018292725050215	0.02886335215146	0.0250469327717868	0.0299898683022055	0.0400563901311743	0.0361968136920925	0.0405319332383156	0.0472744516392855	0.057321147148168	0.0599721955863444	0.105420821879558	0.217826246210477	1	
Il3ra	0.418003274454066	0.412189116345011	0.399292973897518	0.441350641626873	0.468076199564726	0.582593538185701	0.509863457601384	0.507836361785062	0.469987948752785	0.528890578474284	0.446702230261711	0.479935390096309	0.547059293724429	0.461419314788589	0.524933897191583	0.54481744106289	0.54548767721949	0.556579050363229	0.498928746321408	0.52073638087404	0.539291573326234	0.43610214866898	0.474250739941156	0.512380236949335	0.477989011186365	0.477670825488811	0.484065941092056	0.453788371539147	0.368159572694811	0.286339042304236	0.418003274454066	0.440230632712133	0.405624132754943	0.440985367880733	0.420114554041705	0.474189442710101	0.495650039234146	0.469725041543267	0.452000481195414	0.497595791229472	0.444545283248184	0.415269925974307	0.403436837795804	0.447748879647518	0.428488652320727	0.413823198622326	0.411920219719906	0.483220349873766	0.448527092933365	0.436330889406301	0.445759666519293	0.480497338644362	0.539361145817256	0.422019749024305	0.600833558474936	0.538526318809033	0.509572119850303	0.555313261218668	0.713307727877284	1	
Gata2	0.267889425267017	0.31009967572409	0.397198755170335	0.435801295905049	0.515485250195103	0.456087286574567	0.456218971810059	0.464869473052774	0.461685675299116	0.474476154168022	0.457831691351326	0.459698193614889	0.446919190773691	0.502746316178469	0.532973184739586	0.522612096307381	0.493568263570148	0.583088749024588	0.527580920997931	0.475125082730149	0.517662913338174	0.537884768344214	0.590547520158909	0.538105103066958	0.548859060857907	0.568895724344843	0.575183352741424	0.544945639091817	0.580893629776127	0.499030113068526	0.267889425267017	0.458682230639713	0.564070977389661	0.555061306387494	0.458703504202108	0.478202349948514	0.43620541903909	0.462204203813059	0.488184064358926	0.452253464349279	0.504329101034116	0.471978771086379	0.511543501860592	0.521060785277461	0.547843173019545	0.535398916938724	0.58039263820901	0.576980679884844	0.514375974021424	0.522829953781516	0.58613937806096	0.529717423816065	0.556934380067637	0.562699100402369	0.682952951971438	0.679085014328096	0.60112275724863	0.667175855207741	0.657396406871553	1	
Stat3	0.422175993577727	0.383686254640121	0.356923336873483	0.316100050536762	0.435430955119414	0.530362205618853	0.467883382277282	0.406079794464569	0.413563363372653	0.435930702904566	0.325972829024204	0.416544480477506	0.452829648433781	0.319974347462704	0.500945539775497	0.493286760317386	0.370781960156144	0.410758962729105	0.43693610376408	0.392472375563256	0.424384803275283	0.390554167788151	0.399076865836604	0.47643199324706	0.387326877098522	0.459096411144758	0.33169603893116	0.354029916846252	0.370153704893546	0.395630752255637	0.422175993577727	0.411208818663253	0.471962571646357	0.451817109505197	0.320612367635737	0.508325226195398	0.497501148184022	0.481300865810053	0.475520970949157	0.443065654610069	0.429337452956985	0.355117425571659	0.357627738317903	0.349282091360758	0.401071818938277	0.332124994500014	0.303515045742539	0.306417051223329	0.43432269785233	0.366881678766047	0.343264318709852	0.483662832966825	0.418669735691057	0.303836300677631	0.409697771110371	0.355015874717051	0.298891643514293	0.516840101592337	0.445989572090191	1	
Spi1	0.28659807381972	0.291046962341084	0.29112435925404	0.446840529609151	0.387801981901362	0.352469688721985	0.3456609543399	0.369866765657251	0.30330788931539	0.313009556293754	0.344759725292799	0.277105833889612	0.306298054844572	0.231138470622011	0.305509550897491	0.252700269647254	0.25941224767762	0.274158831949065	0.254135880025202	0.258671235191591	0.262754591112995	0.187763182313429	0.194535712149327	0.295158568636963	0.210522983607083	0.251632968646292	0.182588280775121	0.204313621545131	0.156847689224815	0.102469609137295	0.28659807381972	0.33968486040355	0.400367059673661	0.298009826167833	0.255982194446171	0.298475907227092	0.314820431342031	0.307321201485102	0.292965724981318	0.345259221820868	0.346298780030507	0.289692419340759	0.343840794497475	0.373100771625833	0.374648690376041	0.333562572929081	0.355217215356322	0.327186206882729	0.380446483552698	0.310269285427395	0.368037381951584	0.303852720333045	0.321461740821098	0.323286488113027	0.325044425953704	0.389673869818217	0.354645429901426	0.416205292012795	0.530047626606012	1	
Epor	0.156135461202049	0.146023216187683	0.176115721093873	0.157116888526664	0.165968621103561	0.155839586378103	0.155706243196823	0.15881176817638	0.164798828560457	0.158882539192431	0.162796421225832	0.159971437038507	0.185301637079033	0.196443984814769	0.226553077087022	0.2475902837631	0.257003038319561	0.251819071017575	0.243318778281853	0.24711620094801	0.284318480925796	0.270106766901807	0.326819233255498	0.312577440741958	0.336486767433299	0.343471833478863	0.339776161187348	0.459168699500854	0.589434616962056	1	0.156135461202049	0.174582411293184	0.182623216266237	0.208444564955791	0.167418691622492	0.167558403063099	0.163951985223569	0.146319984784784	0.136607471899271	0.139110878830331	0.114353367846646	0.116389463746328	0.110138896857888	0.0988219786117746	0.0985990516553914	0.0950520830664772	0.0859437648945744	0.0920873771641607	0.10161044489498	0.0830563860870061	0.0945572910742354	0.0828563813122201	0.09326010164134	0.0931008177201274	0.116037693789691	0.100207088207733	0.0868831428340671	0.133039250912756	0.116588035116447	0.0204812897039211	
