GATA3	COPEB	ELK1	IRF4	JUN	MAF	MYB	NFATC3	NFKB1	RELA	STAT3	USF2	External	
-0.07	0.02	0.06	-0.19	-0.19	0.27	-0.49	-0.01	0.42	0.25	0.16	-0.14	1.27	
0.05	-0.12	1.21	-0.17	-0.03	0.09	0.21	-0.19	0.07	-0.34	0.30	0.19	-1.39	
-0.01	-0.20	-0.48	0.37	0.40	-0.53	0.27	-0.05	0.83	0.50	-0.20	-0.15	0.66	
-0.04	0.67	-0.07	0.22	0.56	0.16	-1.32	0.09	1.07	-0.20	1.01	0.20	1.59	
-0.67	-0.85	1.32	-0.07	-0.38	0.12	-3.00	-0.03	-0.20	0.02	-1.54	0.05	-3.96	
0.51	-0.30	-0.11	0.14	0.65	0.09	-0.55	0.15	-0.28	0.06	-0.67	0.06	1.01	
1.26	0.30	-0.01	0.37	-0.06	0.60	-2.44	0.35	0.13	0.25	0.60	-0.07	1.02	
4.17	0.24	0.35	0.87	0.01	0.57	0.87	-0.25	-1.37	-0.60	0.05	-0.25	-2.45	
-0.01	0.26	-0.05	0.00	0.43	0.00	0.16	0.58	-0.12	0.17	0.36	-0.03	17.00	
-1.63	0.33	-0.06	0.22	0.26	0.05	-1.46	0.04	-1.43	-0.08	0.24	-0.05	-1.81	
-0.02	0.59	-0.05	0.08	0.06	-0.02	0.13	0.16	0.74	0.13	0.66	-0.12	-0.85	
0.01	-0.38	-0.03	0.16	-0.17	0.01	-0.21	-0.12	-0.72	-0.44	-1.01	0.02	-1.30	
