SampleID	Th2-0h	Th2-6h	Th2-1d	Th2-3d	Th2-6d	Th2-8d	Naive-0h	Naive-6h	Naive-1d	Naive-3d	Naive-6d	Naive-8d
GATA3	0.119985749	0.196587409	0.209155714	0.468213804	0.984604545	1	0.119985749	0.119985749	0.119985749	0.119985749	0.119985749	0.119985749
COPEB	1	0.574200444	0.134178245	0.346011542	0.357994001	0.269494892	1	1	1	1	1	1
ELK1	0.453587131	0.327875077	0.779468544	1	0.784039805	0.784074109	0.453587131	0.453587131	0.453587131	0.453587131	0.453587131	0.453587131
IRF4	0.015555368	1	0.435674192	0.324226938	0.446252156	0.310737208	0.015555368	0.015555368	0.015555368	0.015555368	0.015555368	0.015555368
JUN	1	0.138132704	0.010230829	0.124040961	0.149654561	0.109632152	1	1	1	1	1	1
MAF	0.213708799	0.465602144	0.238639175	0.720450597	1	0.636625519	0.213708799	0.213708799	0.213708799	0.213708799	0.213708799	0.213708799
MYB	0.168834035	0.424911918	0.138641455	0.282311859	0.875483718	1	0.168834035	0.168834035	0.168834035	0.168834035	0.168834035	0.168834035
NFATC3	1	0.826954574	0.594326377	0.689103839	0.735586663	0.931664938	1	1	1	1	1	1
NFKB1	0.244049244	1	0.389678851	0.277487991	0.196523481	0.174698205	0.244049244	0.244049244	0.244049244	0.244049244	0.244049244	0.244049244
RELA	0.567877808	1	0.442394282	0.418641583	0.468851417	0.453359637	0.567877808	0.567877808	0.567877808	0.567877808	0.567877808	0.567877808
STAT3	0.314523226	1	0.281903876	0.436638392	0.451365427	0.40003871	0.314523226	0.314523226	0.314523226	0.314523226	0.314523226	0.314523226
USF2	1	0.268360734	0.498418846	0.612206865	0.598315568	0.576209503	1	1	1	1	1	1
External	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1
